country_code,country_language,country,state,state_code,district,district_code,sub_district,sub_district_code,village_name,village_code,census_code,region,language,pincode,risk_category
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,MUSHAI,279264,172991997279264,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,RTIANG,279265,172991997279265,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,RALIANG,279266,172991997279266,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,PYNTEI,279267,172991997279267,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,LATANAI,279268,172991997279268,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,BIAR,279269,172991997279269,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,CHUTWAKHU SARHEN,279270,172991997279270,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,NONGRYNGKOH,279271,172991997279271,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,MUKHAP,279272,172991997279272,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,KHONSHNONG,279273,172991997279273,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,LAKADONG,279274,172991997279274,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,TONGKIAD,279275,172991997279275,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,UMSALAIT,279276,172991997279276,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,IOOKSI,279277,172991997279277,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,KYANMYNSAR THLONGMOO,279278,172991997279278,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,PRAING,279279,172991997279279,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,UMDINLIENG,279280,172991997279280,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,IAWTHYMMEI,279281,172991997279281,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,SAPHAI,279282,172991997279282,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,THADMURIT,279283,172991997279283,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,LARU,279284,172991997279284,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,RANA,279000,172981995279000,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NONGJRI TLUH,279001,172981995279001,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NONGJRI BAH,279002,172981995279002,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LONGKADING,279003,172981995279003,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,MAWDANG,279004,172981995279004,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NONGSHKEN,279005,172981995279005,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,KORBLANG,279006,172981995279006,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NONGSOHPHAN,279007,172981995279007,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NOHWET,279008,172981995279008,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,NONGTHYMMAI KYNDIAR,279009,172981995279009,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LYMPUNGSHYRNGAN,279010,172981995279010,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LATANG-RIWAN,279011,172981995279011,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LUMWAHNIAI,279012,172981995279012,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LYMPUNG PDAH,279013,172981995279013,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,RIMASSAR,279014,172981995279014,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,LAPALANG,279015,172981995279015,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,PASHUM,279016,172981995279016,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,MAWRIANG,279017,172981995279017,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,PYNURSLA,1995,SOHLONG,279018,172981995279018,EAST,English,793110,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGTHYMME,279106,172991996279106,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGMULIEH,279107,172991996279107,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOKJAT,279108,172991996279108,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,IONGSHIWIAT,279109,172991996279109,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,BAMKAMAR,279110,172991996279110,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,REMAIN,279111,172991996279111,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOKABENG,279112,172991996279112,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KREMLABIT,279113,172991996279113,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOBAKHON,279114,172991996279114,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOORAPUSHAI,279115,172991996279115,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,IONGSNIEH TAKHNIANG,279116,172991996279116,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,SAPHAI,279117,172991996279117,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,SOPHOHWAIONG,279118,172991996279118,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KHLIEHRIAT,279119,172991996279119,EAST,English,793200,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MADANSYNRANG,279120,172991996279120,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KSEHRYNSHANG,279121,172991996279121,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGLATEM,279122,172991996279122,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,UMRAKIA,279123,172991996279123,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGKHARAI,279124,172991996279124,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGKHROH,279125,172991996279125,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,THADMUSEM,279126,172991996279126,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGKHYLLEP,279127,172991996279127,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOORAP,279128,172991996279128,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MYNSNGAT,279129,172991996279129,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOLYNGKDEIN,279130,172991996279130,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,RINGKYRTEIN,279131,172991996279131,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,TAKHNIANG,279132,172991996279132,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KHLOHRIAT,279133,172991996279133,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KHYNDAWWASO,279134,172991996279134,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MYNKREM,279135,172991996279135,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KPERMYNSNIEH,279136,172991996279136,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOKHONIUNG,279137,172991996279137,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,SOHPHOH,279138,172991996279138,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NARTIANG,279139,172991996279139,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOODOP,279140,172991996279140,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,IONGLWIT,279141,172991996279141,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,IANGKAR,279142,172991996279142,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOLEPHAW,279143,172991996279143,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,LUMTREP,279144,172991996279144,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,IONGTHMA,279145,172991996279145,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGJNGI,279146,172991996279146,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MUPLIANG,279147,172991996279147,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MYNSO,279148,172991996279148,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KDOHKULE,279149,172991996279149,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,LARNAI,279150,172991996279150,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,WAHRYMBAI,279151,172991996279151,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,TYRSHANG,279152,172991996279152,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,LUMCHARATOH,279153,172991996279153,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MASKUT,279154,172991996279154,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,WAHIAJER,279155,172991996279155,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KSEHLAMARE,279156,172991996279156,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MYRJAI,279157,172991996279157,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,MOOPASI,279158,172991996279158,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,NONGBAH,279159,172991996279159,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,UMMULONG,279160,172991996279160,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DADENGGIRI,1963,TEKSRAGRE,273130,172931963273130,EAST,English,794003,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,RANIKOR,1983,THIEPDIENGNGAN,277180,172961983277180,EAST,English,793114,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,ZIKZAK,1967,TEWALIGRE,273872,172931967273872,EAST,English,794115,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DALU,1969,TIBAPARA      A,274353,172931969274353,EAST,English,794103,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,TIKRIKILLA,1964,TIBRIPARA,273268,172931964273268,EAST,English,794109,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,RANIKOR,1983,THANGBYRIANG,277158,172961983277158,EAST,English,793106,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,RESUBELPARA,1970,THAPA RONGDENG,274624,172941970274624,EAST,English,794108,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,THAWKHONG,276573,172961979276573,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,SWANGRE NONGRIM,276599,172961979276599,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,SWANGRE WASO,276595,172961979276595,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWPHLANG,1988,KHARNONGWAH,278170,172981988278170,EAST,English,793121,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMLING,1985,KHONGWING,277545,172971985277545,EAST,English,793101,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DALU,1969,JARANGPARA,274304,172931969274304,EAST,English,794103,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWRYNGKNENG,1990,JAROIT,278405,172981990278405,EAST,English,793018,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,DAGAL NOKAT,274819,172941971274819,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,RONGRAM,1965,GOERAGRE,273515,172931965273515,EAST,English,794002,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,GAMBEGRE,1968,ANTEKAGRE,274139,172931968274139,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,SAIPUNG,2000,FIANGPUI,279552,172992000279552,EAST,English,793200,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,TIKRIKILLA,1964,JANGRAPARA SONGGITCHAM,273434,172931964273434,EAST,English,794109,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,KHYNDAWWASO,279227,172991997279227,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,NAGNIPARA,272830,172931962272830,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,RONGARA,1978,KALU SONGMONG,276180,172951978276180,EAST,English,794114,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,RONGRAM,1965,KAMAGRE,273445,172931965273445,EAST,English,794002,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMSNING,1987,UMRU,277878,172971987277878,EAST,English,793116,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMSNING,1987,UMSAWLUM  B,278024,172971987278024,EAST,English,793123,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,NONGSTOIN,1980,UMTHLI,276782,172961980276782,EAST,English,793119,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMLING,1985,UMTYRLEN,277624,172971985277624,EAST,English,793102,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,PAMMANIK,279249,172991997279249,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,MISIMANDAGRE,272875,172931962272875,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,KREMLABIT,279113,172991996279113,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,BAGHMARA,1977,EMANGRE,276070,172951977276070,EAST,English,794102,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,GASUAPARA,1976,ENGGOKGRE,275837,172951976275837,EAST,English,794111,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,BAGHMARA,1977,BADRI RONGDONG,276045,172951977276045,EAST,English,794102,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,KHILBHOI,272908,172931962272908,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,THADMUKOH,279067,172991996279067,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWSYNRAM,1993,THAKURNAW,278760,172981993278760,EAST,English,793113,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,MISSION  COMPOUND,274872,172941971274872,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,AMLAREM,1998,AMJALONG,279366,172991998279366,EAST,English,793109,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWSYNRAM,1993,MAKHALI,278741,172981993278741,EAST,English,793106,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DADENGGIRI,1963,DABIGRE,273185,172931963273185,EAST,English,794003,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,SONGSAK,1973,DAGAL CHIMRAM,275223,172941973275223,EAST,English,794113,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,DAGAL SONGGITAL,275553,172951975275553,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,SONGSAK,1973,BIJASIK BOLONGGRE,275241,172941973275241,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,MINGKRAK,275052,172941972275052,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,MIANGMAWDOR,276623,172961979276623,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,MANGSANG MOGOGITTIM,274789,172941971274789,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,MANGSANGDASO,276544,172961979276544,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DALU,1969,KHASIPARA,274221,172931969274221,EAST,English,794103,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,NENGPATCHI,274922,172941971274922,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,AMLAREM,1998,SHMIASHYIANG,279309,172991998279309,EAST,English,793161,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,BADILPA APAL,274803,172941971274803,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,SEMBU RONGSNAGIRI,275653,172951975275653,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,LASKEIN,1997,SHILLIANG MYNTANG,279216,172991997279216,EAST,English,793150,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,SEKAPARA,272871,172931962272871,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,BETASING,1966,SIMSANG BOKMANGRE,273779,172931966273779,EAST,English,794115,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,BETASING,1966,UPPAR DAMALGRE,273760,172931966273760,EAST,English,794105,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DADENGGIRI,1963,UPPER BALJEK ADUMA,273190,172931963273190,EAST,English,794003,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,DAMBO RONGJENG,1971,UPPER BAMIL,274793,172941971274793,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,ZIKZAK,1967,UPPER KALAICHAR,273866,172931967273866,EAST,English,794115,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,UPPER NONGKYNDANG,276376,172961979276376,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,UPPER RONGBU,274983,172941972274983,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,UPPER SARI AWE,275076,172941972275076,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,DADENGGIRI,1963,TOMAGRE,273212,172931963273212,EAST,English,794003,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,NONGSTOIN,1980,MAINOP,276688,172961980276688,EAST,English,793119,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,KHLIEHRIAT,1999,LUM SHKEN,279441,172991999279441,EAST,English,793160,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWKYRWAT,1984,NGUNRAW,277434,172961984277434,EAST,English,793114,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMLING,1985,BALIAN,277495,172971985277495,EAST,English,793101,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWRYNGKNENG,1990,TYNRING,278370,172981990278370,EAST,English,793018,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,MAWSHYNRUT,1979,TYNRONGMAWBLEI,276463,172961979276463,EAST,English,793126,A
IN,Hindi,India,MEGHALAYA,17,JAINTIA HILLS,299,THADLASKEIN,1996,TYRSHANG,279152,172991996279152,EAST,English,793151,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,RESUBELPARA,1970,MANDALANGGRE,274648,172941970274648,EAST,English,794108,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,MANDANG REDINGGRE,275775,172951975275775,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,TIKRIKILLA,1964,LOWER DARENGCHIGRE,273292,172931964273292,EAST,English,794109,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,LOWER WADAGOKGRE,272822,172931962272822,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,TOKROK ANCHENGGRE,275582,172951975275582,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,KHARKUTTA SONGGITAL,275004,172941972275004,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST KHASI HILLS,296,RANIKOR,1983,KEWRI,277255,172961983277255,EAST,English,793106,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,ARUAGRE,275098,172941972275098,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,BAGHMARA,1977,ARUAK SONGGITAL,276055,172951977276055,EAST,English,794102,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,ARONGGIRI,272873,172931962272873,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,BETASING,1966,KASHRA,273623,172931966273623,EAST,English,794105,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,GASUAPARA,1976,KALLANGGRE,275906,172951976275906,EAST,English,794103,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,GAMBEGRE,1968,ANABAGRE,274135,172931968274135,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,RESUBELPARA,1970,AMPATI,274742,172941970274742,EAST,English,794115,A
IN,Hindi,India,MEGHALAYA,17,RI BHOI,297,UMLING,1985,AMPHRANGIRI,277484,172971985277484,EAST,English,793101,A
IN,Hindi,India,MEGHALAYA,17,EAST GARO HILLS,294,KHARKUTTA,1972,KEJUGITTIM,275029,172941972275029,EAST,English,794110,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,CHAMAGURI,272926,172931962272926,EAST,English,794104,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,KALBANGGIRI,275569,172951975275569,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,EAST KHASI HILLS,298,MAWSYNRAM,1993,DEWKBER,278620,172981993278620,EAST,English,793121,A
IN,Hindi,India,MEGHALAYA,17,SOUTH GARO HILLS,295,CHOKPOT,1975,AGALGRE,275706,172951975275706,EAST,English,794005,A
IN,Hindi,India,MEGHALAYA,17,WEST GARO HILLS,293,SELSELLA,1962,DILNAPARA,272904,172931962272904,EAST,English,794105,A
